1	3	108
2	3	99
3	3	98
4	3	107
5	3	104
6	3	101
7	3	103
8	3	111
9	3	110
10	3	85
11	3	87
12	3	91
13	3	115
14	3	97
15	3	82
16	3	96
17	3	109
18	3	114
19	3	120
20	3	81
21	1	28
22	1	27
23	1	16
24	1	3
25	1	32
26	1	37
27	1	15
28	1	23
29	1	34
30	1	24
31	1	12
32	1	6
33	1	17
34	1	2
35	1	9
36	1	25
37	1	8
38	1	19
39	1	14
40	1	4
41	3	84
42	3	92
43	3	86
44	3	93
45	3	88
46	3	113
47	3	95
48	3	102
49	3	112
50	3	83
51	3	90
52	3	117
53	3	94
54	3	106
55	3	105
56	3	116
57	3	89
58	3	118
59	3	100
60	3	119
61	2	79
62	2	61
63	2	57
64	2	77
65	2	47
66	2	50
67	2	78
68	2	45
69	2	56
70	2	65
71	2	73
72	2	41
73	2	59
74	2	64
75	2	68
76	2	54
77	2	53
78	2	44
79	2	52
80	2	62
81	1	23
82	1	29
83	1	24
84	1	12
85	1	13
86	1	17
87	1	4
88	1	11
89	1	22
90	1	15
91	1	19
92	1	9
93	1	14
94	1	36
95	1	34
96	1	10
97	1	5
98	1	25
99	1	39
100	1	33
101	2	74
102	2	76
103	2	80
104	2	75
105	2	49
106	2	43
107	2	70
108	2	66
109	2	48
110	2	58
111	2	63
112	2	72
113	2	55
114	2	42
115	2	60
116	2	67
117	2	51
118	2	71
119	2	69
120	2	46
