1	2	46
2	2	69
3	2	71
4	2	51
5	2	67
6	2	60
7	2	42
8	2	55
9	2	72
10	2	63
11	2	58
12	2	48
13	2	66
14	2	70
15	2	43
16	2	49
17	2	75
18	2	80
19	2	76
20	2	74
21	1	33
22	1	39
23	1	25
24	1	5
25	1	10
26	1	34
27	1	36
28	1	14
29	1	9
30	1	19
31	1	15
32	1	22
33	1	11
34	1	4
35	1	17
36	1	13
37	1	12
38	1	24
39	1	29
40	1	23
41	2	62
42	2	52
43	2	44
44	2	53
45	2	54
46	2	68
47	2	64
48	2	59
49	2	41
50	2	73
51	2	65
52	2	56
53	2	45
54	2	78
55	2	50
56	2	47
57	2	77
58	2	57
59	2	61
60	2	79
61	3	119
62	3	100
63	3	118
64	3	89
65	3	116
66	3	105
67	3	106
68	3	94
69	3	117
70	3	90
71	3	83
72	3	112
73	3	102
74	3	95
75	3	113
76	3	88
77	3	93
78	3	86
79	3	92
80	3	84
81	1	4
82	1	14
83	1	19
84	1	8
85	1	25
86	1	9
87	1	2
88	1	17
89	1	6
90	1	12
91	1	24
92	1	34
93	1	23
94	1	15
95	1	37
96	1	32
97	1	3
98	1	16
99	1	27
100	1	28
101	3	81
102	3	120
103	3	114
104	3	109
105	3	96
106	3	82
107	3	97
108	3	115
109	3	91
110	3	87
111	3	85
112	3	110
113	3	111
114	3	103
115	3	101
116	3	104
117	3	107
118	3	98
119	3	99
120	3	108
