1	26	1	26	5000
2	36	2	36	6000
3	1	3	1	4000
4	46	4	46	5000
5	49	4	49	5000
6	37	2	37	6000
7	27	1	27	4000
8	2	3	2	6000
9	52	4	52	5000
10	28	1	28	6000
11	38	2	38	5000
12	3	3	3	4000
13	39	2	39	6000
14	29	1	29	5000
15	55	4	55	4000
16	4	3	4	5000
17	40	2	40	6000
18	30	1	30	6000
19	5	3	5	4000
20	58	4	58	5000
21	47	4	47	6000
22	6	3	6	5000
23	16	1	16	4000
24	41	2	41	4000
25	17	1	17	5000
26	42	2	42	4000
27	50	4	50	6000
28	7	3	7	5000
29	43	2	43	5000
30	8	3	8	4000
31	53	4	53	5000
32	18	1	18	6000
33	9	3	9	4000
34	19	1	19	5000
35	44	2	44	4000
36	56	4	56	6000
37	10	3	10	5000
38	59	4	59	6000
39	45	2	45	5000
40	20	1	20	4000
41	48	4	48	6000
42	11	3	11	5000
43	31	2	31	6000
44	21	1	21	4000
45	32	2	32	5000
46	51	4	51	5000
47	12	3	12	4000
48	22	1	22	5000
49	13	3	13	4000
50	54	4	54	5000
51	23	1	23	5000
52	33	2	33	4000
53	24	1	24	5000
54	57	4	57	5000
55	14	3	14	6000
56	34	2	34	5000
57	25	1	25	5000
58	15	3	15	6000
59	60	4	60	4000
60	35	2	35	6000
