1	1	1	1	5000
2	26	2	26	6000
3	36	3	36	4000
4	46	4	46	5000
5	49	4	49	5000
6	27	2	27	6000
7	2	1	2	4000
8	37	3	37	6000
9	52	4	52	5000
10	3	1	3	6000
11	28	2	28	5000
12	38	3	38	4000
13	29	2	29	6000
14	4	1	4	5000
15	55	4	55	4000
16	39	3	39	5000
17	30	2	30	6000
18	5	1	5	6000
19	40	3	40	4000
20	58	4	58	5000
21	47	4	47	6000
22	41	3	41	5000
23	6	1	6	4000
24	16	2	16	4000
25	7	1	7	5000
26	17	2	17	4000
27	50	4	50	6000
28	42	3	42	5000
29	18	2	18	5000
30	43	3	43	4000
31	53	4	53	5000
32	8	1	8	6000
33	44	3	44	4000
34	9	1	9	5000
35	19	2	19	4000
36	56	4	56	6000
37	45	3	45	5000
38	59	4	59	6000
39	20	2	20	5000
40	10	1	10	4000
41	48	4	48	6000
42	31	3	31	5000
43	21	2	21	6000
44	11	1	11	4000
45	22	2	22	5000
46	51	4	51	5000
47	32	3	32	4000
48	12	1	12	5000
49	33	3	33	4000
50	54	4	54	5000
51	13	1	13	5000
52	23	2	23	4000
53	14	1	14	5000
54	57	4	57	5000
55	34	3	34	6000
56	24	2	24	5000
57	15	1	15	5000
58	35	3	35	6000
59	60	4	60	4000
60	25	2	25	6000
